URL,Original Price,Brand,Color,"City (LA, NYC)","Activity (Dining, PP)","Category (Dresses, Outerwear, Accesories)",Remarks
https://www.madewell.com/ruffle-strap-wrap-dress-in-metallic-striped-prairie-posies-L2406.html?dwvar_L2406_color=WQ6386&cgid=apparel-dress&position=7&position=7&activeChunk=0#scrollCount=0&positionInChunk=35&start=1,158,,Red,"LA, NYC",PP,Dress,
https://www.madewell.com/ruffle-strap-wrap-dress-in-inkspot-dots-L2404.html?dwvar_L2404_color=WQ6387&cgid=apparel-dress&position=35&position=35&activeChunk=0#scrollCount=0&positionInChunk=23&start=1,158,,Pink,"LA, NYC",PP,Dress,
https://www.madewell.com/apiece-aparttrade%3B-sabine-floral-mini-dress-L4581.html?dwvar_L4581_color=EB2598&cgid=apparel-dress&position=23&position=23&activeChunk=0#scrollCount=0&positionInChunk=22&start=1,395,,Blue,"LA, NYC",,Dress,
https://www.madewell.com/apiece-aparttrade%3B-silk-sleeveless-isla-jumpsuit-in-stripes-L4583.html?dwvar_L4583_color=EB2599&cgid=apparel-dress&position=22&position=22&activeChunk=0#scrollCount=0&positionInChunk=18&start=1,395,,"Pink, Grey",NYC,PP,Dress,
https://www.madewell.com/apiece-aparttrade%3B-nueva-costa-floral-maxi-dress-L4591.html?dwvar_L4591_color=EB2601&cgid=apparel-dress&position=18&position=18&activeChunk=0#scrollCount=0&positionInChunk=11&start=1,495,,Black,NYC,PP,Dress,
https://www.madewell.com/flutter-sleeve-midi-dress-in-windowbox-floral-L3442.html?dwvar_L3442_color=WQ6393&cgid=apparel-dress&position=11&position=11&activeChunk=0#scrollCount=0&positionInChunk=35&start=1,138,,Yellow,"NYC, LA",PP,Dress,
https://www.madewell.com/whitreg%3B-striped-orly-dress-L9726.html?dwvar_L9726_color=EB3445&cgid=apparel-dress&position=35&position=35&activeChunk=0#scrollCount=0&positionInChunk=28&start=1,528,,Rainbow,NYC,PP,Dress,
https://www.madewell.com/cami-tier-midi-dress-in-stripe-L3325.html?dwvar_L3325_color=WQ6548&cgid=apparel-dress&position=28&position=28&activeChunk=0#scrollCount=0&positionInChunk=28&start=1,118,,White,"NYC, LA",PP,Dress,
https://www.madewell.com/cami-tier-midi-dress-in-metallic-classic-corsage-L3323.html?dwvar_L3323_color=WQ6397&cgid=apparel-dress&position=24&position=24&activeChunk=0#scrollCount=0&positionInChunk=24&start=1,158,,Yellow,NYC,PP,Dress,
https://www.madewell.com/ruffle-sleeve-maxi-dress-in-classic-corsage-L3303.html?dwvar_L3303_color=WQ6411&cgid=apparel-dress&position=23&position=23&activeChunk=0#scrollCount=0&positionInChunk=21&start=1,118,,White,"NYC, LA",PP+Dining,Dress,
https://www.madewell.com/halter-smocked-maxi-dress-L3334.html?dwvar_L3334_color=WQ6408&cgid=apparel-dress&position=21&position=21&activeChunk=0#scrollCount=0&positionInChunk=19&start=1,158,,Black,"NYC, LA",PP+Dining,Dress,
https://www.madewell.com/puff-sleeve-wrap-midi-dress-in-ikat-floral-L3333.html?dwvar_L3333_color=WQ6405&cgid=apparel-dress&position=4&position=4&activeChunk=0#scrollCount=0&positionInChunk=0&start=1,138,,Yellow,LA ,PP,Dress,
https://www.madewell.com/denim-apron-bow-back-dress-K9487.html?dwvar_K9487_color=DM2887&cgid=apparel-dress&position=19&position=19&activeChunk=0#scrollCount=0&positionInChunk=4&start=1,118,,Denim,"NYC, LA",PP,Dress,
https://www.madewell.com/orchard-flutter-sleeve-dress-in-confetti-floral-L3337.html?dwvar_L3337_color=WQ6407&cgid=apparel-dress&position=0&position=0&activeChunk=0#scrollCount=0&positionInChunk=1&start=1,98,,White,"NYC, LA",PP,Dress,
https://www.madewell.com/ruffle-strap-wrap-dress-in-confetti-floral-L3461.html?dwvar_L3461_color=WQ6408&cgid=apparel-dress&position=1&position=1&activeChunk=0#start=1,128,,Black,"NYC, LA",PP,Dress,
https://www.madewell.com/denim-covered-button-dress-J7810.html?dwvar_J7810_color=DM2293&cgid=apparel-dress&position=19&position=19&activeChunk=0,138,,Denim,"NYC, LA",PP,Dress,
https://www.madewell.com/tulip-sleeve-maxi-dress-in-sweet-blossoms-J8523.html?dwvar_J8523_color=WQ4920&cgid=apparel-dress&position=2&position=2&activeChunk=0#scrollCount=0&positionInChunk=32&start=1,158,,Black,NYC,PP,Dress,
https://www.madewell.com/reconstructed-overall-jumper-J1596.html?dwvar_J1596_color=DM2157&cgid=apparel-dress&position=32&position=32&activeChunk=0#scrollCount=0&positionInChunk=26&start=1,120,,Denim,LA,PP,Dress,
https://www.madewell.com/madewell-x-karen-walkerreg%3B-fathom-denim-off-the-shoulder-dress-J7822.html?dwvar_J7822_color=DM2367&cgid=apparel-dress&position=26&position=26&activeChunk=0#scrollCount=0&positionInChunk=9&start=1,159,,Denim,NYC,PP,Dress,
https://www.madewell.com/apiece-aparttrade%3B-plaid-valentijn-dress-K0270.html?dwvar_K0270_color=WQ6440&cgid=apparel-dress&position=9&position=9&activeChunk=0#scrollCount=0&positionInChunk=0&start=1,375,,Black,NYC,PP+Dining,Dress,
https://www.madewell.com/bell-sleeve-turtleneck-sweater-dress-in-nautical-stripe-K6076.html?dwvar_K6076_color=SU1761&cgid=apparel-dress&position=0&position=0&activeChunk=0#scrollCount=0&positionInChunk=28&start=1,118,,Black,LA,PP,Dress,
https://www.madewell.com/striped-three-quarter-sleeve-sweater-dress-L0538.html?dwvar_L0538_color=SU1852&cgid=apparel-dress&position=28&position=28&activeChunk=0#scrollCount=0&positionInChunk=30&start=1,118,,Gray,NYC,PP,Dress,
https://www.madewell.com/ruffle-edge-wrap-dress-in-drifting-petals-K6058.html?dwvar_K6058_color=WQ5996&cgid=apparel-dress&position=30&position=30&activeChunk=0#scrollCount=0&positionInChunk=22&start=1,128,,Black,"NYC, LA",PP+Dining,Dress,
https://www.madewell.com/wrap-front-midi-dress-in-french-floral-L1927.html?dwvar_L1927_color=WQ6372&cgid=apparel-dress&position=22&position=22&activeChunk=0#scrollCount=0&positionInChunk=18&start=1,138,,Blue,NYC,PP+Dining,Dress,
https://www.madewell.com/cami-slip-dress-in-french-floral-L1781.html?dwvar_L1781_color=WQ6372&cgid=apparel-dress&position=18&position=18&activeChunk=0#scrollCount=0&positionInChunk=16&start=1,118,,Blue,"NYC, LA",PP,Dress,
https://www.madewell.com/bubble-sleeve-sweatshirt-dress-L1929.html?dwvar_L1929_color=GY0041&cgid=apparel-dress&position=16&position=16&activeChunk=0#scrollCount=0&positionInChunk=13&start=1,89.5,,Grey,"NYC, LA",PP,Dress,
https://www.madewell.com/tie-back-cami-dress-L2411.html?dwvar_L2411_color=BL6537&cgid=apparel-dress&position=11&position=11&activeChunk=0#scrollCount=0&positionInChunk=7&start=1,158,,Blue,NYC,Dining,Dress,
https://www.madewell.com/bergen-cocoon-coat-J9109.html?dwvar_J9109_color=BK5229&cgid=apparel-jacketscoats&position=14&position=14&activeChunk=0,298,,"Black, brown, pink",NYC,PP+Dining,Outerwear,
https://www.madewell.com/the-jean-jacket-in-briarwood-wash-H8341.html?dwvar_H8341_color=DM2020&cgid=apparel-jacketscoats&position=11&position=11&activeChunk=0#scrollCount=0&positionInChunk=10&start=1,118,,Denim,"NYC, LA",PP,Outerwear,
https://www.madewell.com/denim-duster-coat-F5349.html?dwvar_F5349_color=DM1451&cgid=apparel-jacketscoats&position=13&position=13&activeChunk=0,178,,Denim,NYC,PP,Outerwear,
https://www.madewell.com/plaid-bryant-coat-K2755.html?dwvar_K2755_color=WQ6069&cgid=apparel-jacketscoats&position=23&position=23&activeChunk=0,328,,Grey,NYC,PP+Dining,Outerwear,
https://www.madewell.com/hollis-double-breasted-coat-in-stripe-J8780.html?dwvar_J8780_color=WQ5089&cgid=apparel-jacketscoats&position=28&position=28&activeChunk=0,228,,Yellow,"NYC, LA",PP+Dining,Outerwear,
https://www.madewell.com/the-oversized-jean-jacket-in-gallagher-black-sherpa-edition-H2231.html?dwvar_H2231_color=DM1861&cgid=apparel-jacketscoats&position=32&position=32&activeChunk=0,175,,"Denim, Black","NYC, LA",PP,Outerwear,
https://www.madewell.com/fleet-jacket-C3394.html?dwvar_C3394_color=GR6195&cgid=apparel-jacketscoats&position=10&position=10&activeChunk=0#scrollCount=0&positionInChunk=34&start=1,98,,Green,"NYC, LA",PP,Outerwear,
https://www.madewell.com/sess%EF%BF%BDntrade%3B-sandison-coat-K0594.html?dwvar_K0594_color=EG9712&cgid=apparel-jacketscoats&position=34&position=34&activeChunk=0#scrollCount=0&positionInChunk=26&start=1,319,,Yellow,NYC,PP,Outerwear,
https://www.madewell.com/oversized-denim-chore-jacket-K9716.html?dwvar_K9716_color=DM2850&cgid=apparel-jacketscoats&position=26&position=26&activeChunk=0#scrollCount=0&positionInChunk=25&start=1,148,,Denim,LA,PP,Outerwear,
https://www.madewell.com/the-raglan-oversized-jean-jacket-in-dusty-rose-K9754.html?dwvar_K9754_color=PK5838&cgid=apparel-jacketscoats&position=25&position=25&activeChunk=0#scrollCount=0&positionInChunk=15&start=1,128,,"Denim, Pink",LA,PP,Outerwear,
https://www.madewell.com/ultimate-leather-motorcycle-jacket-K1086.html?dwvar_K1086_color=BK5229&cgid=apparel-jacketscoats&position=6&position=6&activeChunk=0#scrollCount=0&positionInChunk=4&start=1,498,,Black,NYC,PP,Outerwear,
