URL,"Category (Dresses, Outerwear, Accesories)","City (LA, NYC)",Color,"Activity (Dining, PP)"
https://www.renttherunway.com/pdp/items/FZ55,Dresses,,,
https://www.renttherunway.com/pdp/items/RZ100,Dresses,,,
https://www.renttherunway.com/pdp/items/REF4,Dresses,,,
https://www.renttherunway.com/pdp/items/IRO35,Dresses,,,
https://www.renttherunway.com/pdp/items/JAJ30,Dresses,,,
https://www.renttherunway.com/pdp/items/AMU160,Dresses,,,
https://www.renttherunway.com/pdp/items/AX145,Dresses,,,
https://www.renttherunway.com/pdp/items/LKB34,Dresses,,,
https://www.renttherunway.com/pdp/items/STS83,Dresses,,,
https://www.renttherunway.com/pdp/items/AMU178,Dresses,,,
https://www.renttherunway.com/pdp/items/SLR70,Dresses,,,
https://www.renttherunway.com/pdp/items/MRW49,Dresses,,,
https://www.renttherunway.com/pdp/items/TYB76,Dresses,,,
https://www.renttherunway.com/pdp/items/LKL119,Dresses,,,
https://www.renttherunway.com/pdp/items/BM600,Dresses,,,
https://www.renttherunway.com/pdp/items/BH43,Dresses,,,
https://www.renttherunway.com/pdp/items/JG137,Dresses,,,
https://www.renttherunway.com/pdp/items/ELT58,Dresses,,,
https://www.renttherunway.com/pdp/items/JS149,Dresses,,,
https://www.renttherunway.com/pdp/items/SAL41,Dresses,,,
https://www.renttherunway.com/pdp/items/BM594,Dresses,,,
https://www.renttherunway.com/pdp/items/TYB50,Dresses,,,
https://www.renttherunway.com/pdp/items/ECZ2,Dresses,,,
https://www.renttherunway.com/pdp/items/DVF247,Dresses,,,
https://www.renttherunway.com/pdp/items/WIS27,Dresses,,,
https://www.renttherunway.com/pdp/items/LP112,Dresses,,,
https://www.renttherunway.com/pdp/items/REF19,Dresses,,,
https://www.renttherunway.com/pdp/items/REF3,Dresses,,,
https://www.renttherunway.com/pdp/items/CD37,Dresses,,,
https://www.renttherunway.com/pdp/items/LMT6,Dresses,,,
https://www.renttherunway.com/pdp/items/JSK3,Dresses,,,
https://www.renttherunway.com/pdp/items/KS207,Dresses,,,
https://www.renttherunway.com/pdp/items/JCA5,Dresses,,,
https://www.renttherunway.com/pdp/items/ML246,Dresses,,,
https://www.renttherunway.com/pdp/items/PLL48,Dresses,,,
https://www.renttherunway.com/pdp/items/KPL74,Dresses,,,
https://www.renttherunway.com/pdp/items/KP88,Dresses,,,
https://www.renttherunway.com/pdp/items/DL265,Dresses,,,
https://www.renttherunway.com/pdp/items/AMC7,Dresses,,,
https://www.renttherunway.com/pdp/items/DTP37,Dresses,,,
https://www.renttherunway.com/pdp/items/PR105,Dresses,,,
https://www.renttherunway.com/pdp/items/VIN119,Dresses,,,
https://www.renttherunway.com/pdp/items/TT328,Dresses,,,
https://www.renttherunway.com/pdp/items/RCH4,Dresses,,,
https://www.renttherunway.com/pdp/items/JG34,Dresses,,,
https://www.renttherunway.com/pdp/items/WIS26,Dresses,,,
https://www.renttherunway.com/pdp/items/TT295,Dresses,,,
https://www.renttherunway.com/pdp/items/RG11,Dresses,,,
https://www.renttherunway.com/pdp/items/HTC63,Dresses,,,
https://www.renttherunway.com/pdp/items/BDT3,Dresses,,,
https://www.renttherunway.com/pdp/items/KS147,Dresses,,,
https://www.renttherunway.com/pdp/items/SAL52,Dresses,,,
https://www.renttherunway.com/pdp/items/CP29,Dresses,,,
https://www.renttherunway.com/pdp/items/BM591,Dresses,,,
https://www.renttherunway.com/pdp/items/DTP53,Dresses,,,
https://www.renttherunway.com/pdp/items/AMU136,Dresses,,,
https://www.renttherunway.com/pdp/items/FLL10,Dresses,,,
https://www.renttherunway.com/pdp/items/AMR35,Dresses,,,
https://www.renttherunway.com/pdp/items/SAL65,Dresses,,,
https://www.renttherunway.com/pdp/items/AMR70,Dresses,,,
https://www.renttherunway.com/pdp/items/AX140,Dresses,,,
https://www.renttherunway.com/pdp/items/MISA1,Dresses,,,
https://www.renttherunway.com/pdp/items/MNL245,Dresses,,,
https://www.renttherunway.com/pdp/items/TYB141,Dresses,,,
https://www.renttherunway.com/pdp/items/TBL11,Dresses,,,
https://www.renttherunway.com/pdp/items/NLS103,Dresses,,,
https://www.renttherunway.com/pdp/items/TNT69,Dresses,,,
https://www.renttherunway.com/pdp/items/ML174,Dresses,,,
https://www.renttherunway.com/pdp/items/LMT7,Dresses,,,
https://www.renttherunway.com/pdp/items/RZ98,Dresses,,,
https://www.renttherunway.com/pdp/items/ML295,Dresses,,,
https://www.renttherunway.com/pdp/items/PK340,Dresses,,,
